xsec,nevents
1.12272E+11,1.00000E+04
1.11734E+11,1.00000E+04
1.12826E+11,1.00000E+04
1.12869E+11,1.00000E+04
1.11893E+11,1.00000E+04
1.09527E+11,1.00000E+04
1.12886E+11,1.00000E+04
1.13123E+11,1.00000E+04
1.12913E+11,1.00000E+04
1.12506E+11,1.00000E+04
1.12808E+11,1.00000E+04
1.12595E+11,1.00000E+04
1.13133E+11,1.00000E+04
1.10661E+11,1.00000E+04
1.12134E+11,1.00000E+04
1.13142E+11,1.00000E+04
1.12018E+11,1.00000E+04
1.12702E+11,1.00000E+04
1.12986E+11,1.00000E+04
1.13299E+11,1.00000E+04
1.12977E+11,1.00000E+04
1.12561E+11,1.00000E+04
1.13039E+11,1.00000E+04
4.73727E+10,1.00000E+04
1.08376E+11,1.00000E+04
1.12850E+11,1.00000E+04
1.12982E+11,1.00000E+04
1.13056E+11,1.00000E+04
1.11524E+11,1.00000E+04
1.12511E+11,1.00000E+04
1.12861E+11,1.00000E+04
1.11954E+11,1.00000E+04
1.08961E+11,1.00000E+04
1.08079E+11,1.00000E+04
1.12698E+11,1.00000E+04
1.12512E+11,1.00000E+04
1.13236E+11,1.00000E+04
1.12794E+11,1.00000E+04
1.12404E+11,1.00000E+04
1.12682E+11,1.00000E+04
1.10551E+11,1.00000E+04
1.13026E+11,1.00000E+04
1.12803E+11,1.00000E+04
1.11770E+11,1.00000E+04
1.12435E+11,1.00000E+04
1.12970E+11,1.00000E+04
1.12980E+11,1.00000E+04
1.10106E+11,1.00000E+04
1.12384E+11,1.00000E+04
1.13186E+11,1.00000E+04
1.13125E+11,1.00000E+04
1.12973E+11,1.00000E+04
1.12698E+11,1.00000E+04
1.12845E+11,1.00000E+04
1.12062E+11,1.00000E+04
1.12986E+11,1.00000E+04
1.13075E+11,1.00000E+04
1.12996E+11,1.00000E+04
1.12425E+11,1.00000E+04
1.12217E+11,1.00000E+04
